pclass,survived,sex,age,sibsp,parch,fare,boat,body,embarked_Q,embarked_S
1,1,0,29.0,0,0,211.3375,2.0,155.0,False,True
1,1,1,0.9167,1,2,151.55,11.0,155.0,False,True
1,0,0,2.0,1,2,151.55,10.0,155.0,False,True
1,0,1,30.0,1,2,151.55,10.0,135.0,False,True
1,0,0,25.0,1,2,151.55,10.0,155.0,False,True
1,1,1,48.0,0,0,26.55,3.0,155.0,False,True
1,1,0,63.0,1,0,77.9583,10.0,155.0,False,True
1,0,1,39.0,0,0,0.0,10.0,155.0,False,True
1,1,0,53.0,2,0,51.4792,10.0,155.0,False,True
1,0,1,71.0,0,0,49.5042,10.0,22.0,False,False
1,0,1,47.0,1,0,227.525,10.0,124.0,False,False
1,1,0,18.0,1,0,227.525,4.0,155.0,False,False
1,1,0,24.0,0,0,69.3,9.0,155.0,False,False
1,1,0,26.0,0,0,78.85,6.0,155.0,False,True
1,1,1,80.0,0,0,30.0,10.0,155.0,False,True
1,0,1,28.0,0,0,25.925,10.0,155.0,False,True
1,0,1,24.0,0,1,247.5208,10.0,155.0,False,False
1,1,0,50.0,0,1,247.5208,6.0,155.0,False,False
1,1,0,32.0,0,0,76.2917,8.0,155.0,False,False
1,0,1,36.0,0,0,75.2417,10.0,155.0,False,False
1,1,1,37.0,1,1,52.5542,5.0,155.0,False,True
1,1,0,47.0,1,1,52.5542,5.0,155.0,False,True
1,1,1,26.0,0,0,30.0,5.0,155.0,False,False
1,1,0,42.0,0,0,227.525,4.0,155.0,False,False
1,1,0,29.0,0,0,221.7792,8.0,155.0,False,True
1,0,1,25.0,0,0,26.0,10.0,148.0,False,False
1,1,1,25.0,1,0,91.0792,7.0,155.0,False,False
1,1,0,19.0,1,0,91.0792,7.0,155.0,False,False
1,1,0,35.0,0,0,135.6333,8.0,155.0,False,True
1,1,1,28.0,0,0,26.55,10.0,155.0,False,True
1,0,1,45.0,0,0,35.5,10.0,155.0,False,True
1,1,1,40.0,0,0,31.0,7.0,155.0,False,False
1,1,0,30.0,0,0,164.8667,8.0,155.0,False,True
1,1,0,58.0,0,0,26.55,8.0,155.0,False,True
1,0,1,42.0,0,0,26.55,10.0,155.0,False,True
1,1,0,45.0,0,0,262.375,4.0,155.0,False,False
1,1,0,22.0,0,1,55.0,6.0,155.0,False,True
1,1,1,28.0,0,0,26.55,9.0,155.0,False,True
1,0,1,41.0,0,0,30.5,10.0,155.0,False,True
1,0,1,48.0,0,0,50.4958,10.0,208.0,False,False
1,0,1,28.0,0,0,39.6,10.0,155.0,False,False
1,1,0,44.0,0,0,27.7208,6.0,155.0,False,False
1,1,0,59.0,2,0,51.4792,10.0,155.0,False,True
1,1,0,60.0,0,0,76.2917,8.0,155.0,False,False
1,1,0,41.0,0,0,134.5,3.0,155.0,False,False
1,0,1,45.0,0,0,26.55,10.0,155.0,False,True
1,0,1,28.0,0,0,31.0,10.0,155.0,False,True
1,1,1,42.0,0,0,26.2875,5.0,155.0,False,True
1,1,0,53.0,0,0,27.4458,6.0,155.0,False,False
1,1,1,36.0,0,1,512.3292,3.0,155.0,False,False
1,1,0,58.0,0,1,512.3292,3.0,155.0,False,False
1,0,1,33.0,0,0,5.0,10.0,155.0,False,True
1,0,1,28.0,0,0,47.1,10.0,155.0,False,True
1,0,1,17.0,0,0,47.1,10.0,155.0,False,True
1,1,1,11.0,1,2,120.0,4.0,155.0,False,True
1,1,0,14.0,1,2,120.0,4.0,155.0,False,True
1,1,1,36.0,1,2,120.0,10.0,155.0,False,True
1,1,0,36.0,1,2,120.0,4.0,155.0,False,True
1,0,1,49.0,0,0,26.0,10.0,155.0,False,True
1,1,0,28.0,0,0,27.7208,5.0,155.0,False,False
1,0,1,36.0,1,0,78.85,10.0,172.0,False,True
1,1,0,76.0,1,0,78.85,6.0,155.0,False,True
1,0,1,46.0,1,0,61.175,10.0,155.0,False,True
1,1,0,47.0,1,0,61.175,4.0,155.0,False,True
1,1,1,27.0,1,0,53.1,5.0,155.0,False,True
1,1,0,33.0,1,0,53.1,5.0,155.0,False,True
1,1,0,36.0,0,0,262.375,4.0,155.0,False,False
1,1,0,30.0,0,0,86.5,8.0,155.0,False,True
1,1,1,45.0,0,0,29.7,7.0,155.0,False,False
1,1,0,28.0,0,1,55.0,6.0,155.0,False,True
1,0,1,28.0,0,0,0.0,10.0,155.0,False,True
1,0,1,27.0,1,0,136.7792,10.0,155.0,False,False
1,1,0,26.0,1,0,136.7792,4.0,155.0,False,False
